id,text,label,language
1,"Hi Linda, can you review the attached document before our call at 3:45 PM?",non-spam,English
2,"Turn $100 into $15,000 with our exclusive crypto trading bot! Limited spots available, join now at verifikasi-akun24.com.",spam,English
3,"Hi team, please find attached the report for May. Let me know if you have any questions before the review.",non-spam,English
4,WINNER! You've been chosen for our exclusive $500 cash giveaway. Reply YES or visit bit.ly/2mZ7qT to claim.,spam,English
5,"Hi Anna, thanks for the quick turnaround on the design. The client loved it!",non-spam,English
6,"Hi James, don't forget we have the family reunion this weekend. Can you bring some drinks?",non-spam,English
7,Lose 23lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at claim-prize-today.net.,spam,English
8,"Hi Nancy, thank you for reaching out. Your support ticket #INV20405 has been resolved. Let us know if you need anything else.",non-spam,English
9,WINNER! You've been chosen for our exclusive $500 cash giveaway. Reply YES or visit verifikasi-akun24.com to claim.,spam,English
10,"Hey Susan, are we still on for dinner tonight? Let me know what time works for you.",non-spam,English
11,Get approved for a $500 loan in minutes! No credit check required. Apply now at fastpay-update.com.,spam,English
12,Your order #INV25278 has been shipped and is expected to arrive on Sunday. Track your package using your account dashboard.,non-spam,English
13,Your order #INV71349 has been shipped and is expected to arrive on Sunday. Track your package using your account dashboard.,non-spam,English
14,"Download Windows 11 Pro for FREE - full version, no survey required! Click here now: cek-saldo-now.info",spam,English
15,"Download Windows 11 Pro for FREE - full version, no survey required! Click here now: bit.ly/2mZ7qT",spam,English
16,"Download Photoshop CC 2024 for FREE - full version, no survey required! Click here now: account-confirm.info",spam,English
17,"Turn $100 into $10,000 with our exclusive crypto trading bot! Limited spots available, join now at free-gift-claim.com.",spam,English
18,Lose 15lbs in just 2 weeks with this one weird trick! Doctors hate it. Order now at fastpay-update.com.,spam,English
19,"Hi Thomas, attaching the invoice for last month's services. Please review and let me know if anything looks off.",non-spam,English
20,"Hi Patricia, can you review the attached document before our call at 5:00 PM?",non-spam,English
